name,categories,address,price,likes,photos,tips,rating,ratingSignals,has_rating,signals_band,engagement
Burger Boutique (برجر بوتيك),Burger Joint,"Mousa Bin Nusair St (Musa Ibn Nusair St), الرياض 12214, المملكة العربية السعودية",Expensive,9984.0,20750,2301,9.1,12376.0,1,500+,33035.0
Urth Caffé (إيرث كافيه),Café,"Tahlia St (‪Prince Abdulaziz Bin Musaed Bin Jalawi St‬), الرياض 13713, المملكة العربية السعودية",Cheap,8975.0,24887,2240,9.1,11403.0,1,500+,36102.0
Nozomi (نوزومي),"Japanese Restaurant, Restaurant","Abdulaziz Bin Musa'ed Bin Jalawi St (at Sultan Bin Abdulaziz St), الرياض 12234, المملكة العربية السعودية",Very Expensive,6526.0,13256,1701,9.3,8019.0,1,500+,21483.0
Section-B (سكشن-بي),Burger Joint,"Prince Turki Ibin Abdulaziz Alawwal Rd, الرياض 13512, المملكة العربية السعودية",Cheap,6087.0,15365,1354,9.1,7528.0,1,500+,22806.0
Chunk (تشنك),"Café, Pastry Shop, Bakery","Fiorenza la piazza (Takhassusi St), الرياض 12364, المملكة العربية السعودية",Moderate,5894.0,15467,988,9.0,7160.0,1,500+,22349.0
JOLT (جولت),Coffee Shop,"Prince Turki Ibn Abdulaziz Al Awwal Rd (Prince Turki Bin Abdulaziz Al Awal Road), الرياض 12362, المملكة العربية السعودية",Cheap,5298.0,19716,971,8.4,7108.0,1,500+,25985.0
Off White Restaurant & Lounge (أوف وايت لاونج),"Middle Eastern Restaurant, Mediterranean Restaurant, Lounge","Exit 5 (King Abdulaziz St.), الرياض, المملكة العربية السعودية",Expensive,5557.0,5609,1740,9.0,7091.0,1,500+,12906.0
Camel Step Roasters (محمصة خطوة جمل),"Coffee Roaster, Coffee Shop","Abi Bakr As Siddiq Rd (Exit 6), الرياض 12475, المملكة العربية السعودية",Nan,5555.0,26332,1215,9.1,6583.0,1,500+,33102.0
Lusin (لوسين),"Eastern European Restaurant, Armenian Restaurant","Centria Mall, 2nd Floor (Tahliya St.), الرياض, المملكة العربية السعودية",Expensive,5401.0,6054,1467,9.2,6407.0,1,500+,12922.0
Tokyo (طوكيو),"Japanese Restaurant, Sushi Restaurant","Oruba Rd., الرياض 11323, المملكة العربية السعودية",Expensive,4819.0,6976,1335,8.9,6245.0,1,500+,13130.0
SALT (سولت),Burger Joint,"Riyadh Park Mall - Gate 1 (North Ring Rd.), الرياض 13711, المملكة العربية السعودية",Cheap,4785.0,18491,763,9.1,5693.0,1,500+,24039.0
Madeleine (مادلين),"French Restaurant, Bakery, Pastry Shop","The Boulevard (Prince Turki bin Abdulaziz Al Awwal Rd), الرياض 13513, المملكة العربية السعودية",Expensive,4585.0,12657,1253,9.1,5669.0,1,500+,18495.0
Starbucks (ستاربكس),Coffee Shop,"King Abdullah Rd. (Al-woroud), الرياض, المملكة العربية السعودية",Expensive,4720.0,8225,473,9.0,5584.0,1,500+,13418.0
